902 FM|mms://mediaserver2.otenet.gr/radio902gr
98 FM|http://98fm.ath.cx:8000/live48.m3u
Alpha Radio|mms://lu-nt-stream01.bce.lu/Alpha989
Freedom|mms://a1251.l4434923250.c44349.g.lm.akamaistream.net/D/1251/44349/v0001/reflector:23250
Ant1|http://ant1.live24.gr/ant1
Athens Deejay|mms://213.186.58.26/deejay
Athens FM|mms://178.162.134.33/afm?MSWMExt=.asf
Atlantis FM|http://pasradio.com:7120/
Best Radio|mms://best.live24.gr/best1222?MSWMExt=.asf
Derti|mms://derti.live24.gr/derty1000?MSWMExt=.asf
Flash|mms://flash.live24.gr/flash5252?MSWMExt=.asf
Free Angel|http://174.36.237.66:8014
Galaxy 92|mms://galaxy.live24.gr/galaxy9292?MSWMExt=.asf
Je t'aime|mms://live.onestreaming.com/jetaime?MSWMExt=.asf
John Greek|mms://johngreek.live24.gr/polis2795?MSWMExt=.asf
Kiss FM|mms://kissfm.live24.gr/kiss2111?MSWMExt=.asf
Kosmos|mms://a1232.l3271935231.c32719.g.lm.akamaistream.net/D/1232/32719/v0001/reflector:35231
Love Radio|mms://loveradio.live24.gr/loveradio-1000?MSWMExt=.asf
Mad Radio|mms://media.mad.gr/madradio
Nitro Radio|mms://nitro.live24.gr/nitro4555?MSWMExt=.asf
Nova Sport FM|mms://sportfm.live24.gr/sportfm7712?MSWMExt=.asf
Oasis Fm|mms://oasis.live24.gr/oasis8888?MSWMExt=.asf
Orange|mms://orange.live24.gr/orange9320?MSWMExt=.asf
Palmos On Air|http://s6.onweb.gr:8010/
Paradise Radio|http://s1.onweb.gr:8850/
Radio Gold|mms://radiogold.live24.gr/radiogold?MSWMExt=.asf 
Real FM|mms://realfm.live24.gr/realfm?MSWMExt=.asf
Red FM|mms://a660.l3168030659.c31680.g.lm.akamaistream.net/d/660/31680/v0001/reflector:30659
Rock FM|mms://rockfm.mediabox.gr/Rockfm?MSWMExt=.asf
Sentra FM|mms://sentrafm.live24.gr/sentrafm
Sfera|mms://sfera.live24.gr/sfera4132?MSWMExt=.asf
V FM|mms://nordr.live24.gr/village883?MSWMExt=.asf
Ακτίνα|http://s2.onweb.gr:8632/listen.pls
Δίεση|mms://diesi.live24.gr/diesi1013?MSWMExt=.asf
Δίφωνο|http://icecast.reth.gr:8300/live_3rdd
Δρόμος FM|mms://nordr.live24.gr/dromos898?MSWMExt=.asf
Εν Λευκώ|mms://enleuko.live24.gr/enleuko877?MSWMExt=.asf
Ε.ΡΑ. Δεύτερο|mms://a1782.l3271951781.c32719.g.lm.akamaistream.net/D/1782/32719/v0001/reflector:51781
Ε.ΡΑ. Σπορ|mms://a1113.l3271935112.c32719.g.lm.akamaistream.net/D/1113/32719/v0001/reflector:35112
Ε.ΡΑ. Τρίτο|mms://a1318.l3271931317.c32719.g.lm.akamaistream.net/D/1318/32719/v0001/reflector:31317
Κρητική Ραδιοφωνία|http://s4.onweb.gr:8476/listen.pls
Μελωδία|http://s4.onweb.gr:8050/listen.pls
ΝΕΤ|mms://a1709.l3271943708.c32719.g.lm.akamaistream.net/D/1709/32719/v0001/reflector:43708
Πειραϊκή Εκκλησία|http://stream.greekradios.gr:2016/listen.pls
ΡΣ Εκκλησίας της Ελλάδος|mms://mediaserver.otenet.gr/ecclesia
Ράδιο Blackman|http://rs9.radiostreamer.com:8210/listen.pls
Ράδιο Άστυ|http://shoutcast.24radio.gr:8072/listen.pls
Ρυθμός|mms://nordr.live24.gr/rythmos949live
ΣΚΑΙ|mms://a1505.l827459504.c8274.g.lm.akamaistream.net/D/1505/8274/v0001/reflector:59504
Στο Κόκκινο|http://stokokkino.gr:8000/stream.m3u
Φιλία|mms://a1367.l3271923366.c32719.g.lm.akamaistream.net/D/1367/32719/v0001/reflector:23366
Φλόγα|mms://live.onestreaming.com/radiofloga 
Arion|mms://golive.onestreaming.com/arion2
Style FM Αργολίδας|mms://live.onestreaming.com/stylefm
Ράδιο Ξηρόμερο|http://188.40.131.14:8714/listen.pls
Δίαυλος Χαλκίδας|http://74.63.48.245:8035/listen.pls
Life FM Κέρκυρας|http://s1.onweb.gr:8836/listen.pls
